Date,Sensor
2022-12-04 03:39:36,3456
2022-12-04 03:39:37,3379
2022-12-04 03:39:38,3839
2022-12-04 03:39:39,2380
2022-12-04 03:39:40,2917
2022-12-04 03:39:41,3762
2022-12-04 03:39:42,2226
2022-12-04 03:39:43,3302
2022-12-04 03:39:44,3071
2022-12-04 03:39:45,5759
2022-12-04 03:39:46,5374
2022-12-04 03:39:47,5682
2022-12-04 03:39:48,6065
2022-12-04 03:39:49,5145
2022-12-04 03:39:50,6065
2022-12-04 03:39:51,5528
2022-12-04 03:39:52,5297
2022-12-04 03:39:53,3839
2022-12-04 03:39:54,4606
2022-12-04 03:39:55,4378
2022-12-04 03:39:56,4606
2022-12-04 03:39:57,4914
2022-12-04 03:39:58,4378
2022-12-04 03:39:59,4991
2022-12-04 03:40:00,4224
2022-12-04 03:40:01,4683
2022-12-04 03:40:02,6219
2022-12-04 03:40:03,4991
2022-12-04 03:40:04,5145
2022-12-04 03:40:05,4683
2022-12-04 03:40:06,5220
2022-12-04 03:40:07,4070
2022-12-04 03:40:08,4606
2022-12-04 03:40:09,4914
2022-12-04 03:40:10,4606
2022-12-04 03:40:11,4606
2022-12-04 03:40:12,2765
2022-12-04 03:40:13,4606
2022-12-04 03:40:14,3762
2022-12-04 03:40:15,1612
2022-12-04 03:40:16,2457
2022-12-04 03:40:17,3533
2022-12-04 03:40:18,1689
2022-12-04 03:40:19,3993
2022-12-04 03:40:20,3916
2022-12-04 03:40:21,3916
2022-12-04 03:40:22,2226
2022-12-04 03:40:23,2303
2022-12-04 03:40:24,3148
2022-12-04 03:40:25,1843
2022-12-04 03:40:26,4991
2022-12-04 03:40:27,3456
2022-12-04 03:40:28,4760
2022-12-04 03:40:29,2072
2022-12-04 03:40:30,1612
2022-12-04 03:40:31,3148
2022-12-04 03:40:32,2534
2022-12-04 03:40:33,3533
2022-12-04 03:40:34,2457
2022-12-04 03:40:35,4683
2022-12-04 03:40:36,5145
2022-12-04 03:40:37,4760
2022-12-04 03:40:38,5374
2022-12-04 03:40:39,2380
2022-12-04 03:40:40,3302
2022-12-04 03:40:41,3685
2022-12-04 03:40:42,1689
2022-12-04 03:40:43,1689
2022-12-04 03:40:44,2226
2022-12-04 03:40:45,2840
2022-12-04 03:40:46,2072
2022-12-04 03:40:47,3148
2022-12-04 03:40:48,4224
2022-12-04 03:40:49,2072
2022-12-04 03:40:50,5145
2022-12-04 03:40:51,4991
2022-12-04 03:40:52,5759
2022-12-04 03:40:53,5374
2022-12-04 03:40:54,5068
2022-12-04 03:40:55,3839
2022-12-04 03:40:56,2226
2022-12-04 03:40:57,4378
2022-12-04 03:40:58,3302
2022-12-04 03:40:59,1997
2022-12-04 03:41:00,2072
2022-12-04 03:41:01,2840
2022-12-04 03:41:02,4914
2022-12-04 03:41:03,4378
2022-12-04 03:41:04,4378
2022-12-04 03:41:05,4301
2022-12-04 03:41:06,3456
2022-12-04 03:41:07,5220
2022-12-04 03:41:08,3762
2022-12-04 03:41:09,4606
2022-12-04 03:41:10,3993
2022-12-04 03:41:11,5528
2022-12-04 03:41:12,5220
2022-12-04 03:41:13,3685
2022-12-04 03:41:14,2765
2022-12-04 03:41:15,3148
2022-12-04 03:41:16,2917
2022-12-04 03:41:17,4606
2022-12-04 03:41:18,4224
2022-12-04 03:41:19,3916
2022-12-04 03:41:20,5759
2022-12-04 03:41:21,3685
2022-12-04 03:41:22,3993
2022-12-04 03:41:23,2534
2022-12-04 03:41:24,4914
2022-12-04 03:41:25,3762
2022-12-04 03:41:26,2917
2022-12-04 03:41:27,4224
2022-12-04 03:41:28,4991
2022-12-04 03:41:29,3993
2022-12-04 03:41:30,4378
2022-12-04 03:41:31,4606
2022-12-04 03:41:32,5068
2022-12-04 03:41:33,4760
2022-12-04 03:41:34,4914
2022-12-04 03:41:35,4301
2022-12-04 03:41:36,4301
2022-12-04 03:41:37,4760
2022-12-04 03:41:38,3993
2022-12-04 03:41:39,4301
2022-12-04 03:41:40,3839
2022-12-04 03:41:41,5220
2022-12-04 03:41:42,4991
2022-12-04 03:41:43,3916
2022-12-04 03:41:44,5682
2022-12-04 03:41:45,4991
2022-12-04 03:41:46,5990
2022-12-04 03:41:47,3071
2022-12-04 03:41:48,3302
2022-12-04 03:41:49,2226
2022-12-04 03:41:50,2765
2022-12-04 03:41:51,3302
2022-12-04 03:41:52,5297
2022-12-04 03:41:53,2840
2022-12-04 03:41:54,3533
2022-12-04 03:41:55,2457
2022-12-04 03:41:56,5836
2022-12-04 03:41:57,4760
2022-12-04 03:41:58,2149
2022-12-04 03:41:59,2303
2022-12-04 03:42:00,2457
2022-12-04 03:42:01,2226
2022-12-04 03:42:02,3148
2022-12-04 03:42:03,2994
2022-12-04 03:42:04,1381
2022-12-04 03:42:05,4914
2022-12-04 03:42:06,4914
2022-12-04 03:42:07,3071
2022-12-04 03:42:08,2917
2022-12-04 03:42:09,2149
2022-12-04 03:42:10,3071
2022-12-04 03:42:11,2226
2022-12-04 03:42:12,2994
2022-12-04 03:42:13,2226
2022-12-04 03:42:14,3148
2022-12-04 03:42:15,3456
2022-12-04 03:42:16,3762
2022-12-04 03:42:17,3148
2022-12-04 03:42:18,3379
2022-12-04 03:42:19,3148
2022-12-04 03:42:20,1689
2022-12-04 03:42:21,4452
2022-12-04 03:42:22,2303
2022-12-04 03:42:23,2303
2022-12-04 03:42:24,3225
2022-12-04 03:42:25,1689
2022-12-04 03:42:26,2226
2022-12-04 03:42:27,2917
2022-12-04 03:42:28,2380
2022-12-04 03:42:29,2072
2022-12-04 03:42:30,4301
2022-12-04 03:42:31,1612
2022-12-04 03:42:32,4224
2022-12-04 03:42:33,1458
2022-12-04 03:42:34,1381
2022-12-04 03:42:35,1535
2022-12-04 03:42:36,2994
2022-12-04 03:42:37,5374
2022-12-04 03:42:38,2765
2022-12-04 03:42:39,2840
2022-12-04 03:42:40,2765
2022-12-04 03:42:41,4378
2022-12-04 03:42:42,3148
2022-12-04 03:42:43,4914
2022-12-04 03:42:44,2149
2022-12-04 03:42:45,4606
2022-12-04 03:42:46,5297
2022-12-04 03:42:47,3533
2022-12-04 03:42:48,4914
2022-12-04 03:42:49,4301
2022-12-04 03:42:50,2765
2022-12-04 03:42:51,3302
2022-12-04 03:42:52,4224
2022-12-04 03:42:53,2457
2022-12-04 03:42:54,1458
2022-12-04 03:42:55,1920
2022-12-04 03:42:56,3456
2022-12-04 03:42:57,3533
2022-12-04 03:42:58,2072
2022-12-04 03:42:59,3225
2022-12-04 03:43:00,2072
2022-12-04 03:43:01,3839
2022-12-04 03:43:02,5145
2022-12-04 03:43:03,3148
2022-12-04 03:43:04,3839
2022-12-04 03:43:05,3993
2022-12-04 03:43:06,3071
2022-12-04 03:43:07,1997
2022-12-04 03:43:08,5220
2022-12-04 03:43:09,3302
2022-12-04 03:43:10,3916
2022-12-04 03:43:11,3148
2022-12-04 03:43:12,2917
2022-12-04 03:43:13,5836
2022-12-04 03:43:14,3071
2022-12-04 03:43:15,3225
2022-12-04 03:43:16,2765
2022-12-04 03:43:17,3302
2022-12-04 03:43:18,3685
2022-12-04 03:43:19,4224
2022-12-04 03:43:20,6142
2022-12-04 03:43:21,2149
2022-12-04 03:43:22,5220
2022-12-04 03:43:23,3456
2022-12-04 03:43:24,2765
2022-12-04 03:43:25,3225
2022-12-04 03:43:26,3533
2022-12-04 03:43:27,3071
2022-12-04 03:43:28,5220
2022-12-04 03:43:29,2840
2022-12-04 03:43:30,2380
2022-12-04 03:43:31,2149
2022-12-04 03:43:32,3302
2022-12-04 03:43:33,2534
2022-12-04 03:43:34,5374
2022-12-04 03:43:35,4760
2022-12-04 03:43:36,2149
2022-12-04 03:43:37,2765
2022-12-04 03:43:38,1689
2022-12-04 03:43:39,4914
2022-12-04 03:43:40,1612
2022-12-04 03:43:41,3302
2022-12-04 03:43:42,1689
2022-12-04 03:43:43,3762
2022-12-04 03:43:44,5682
2022-12-04 03:43:45,3379
2022-12-04 03:43:46,3993
2022-12-04 03:43:47,4606
2022-12-04 03:43:48,4683
2022-12-04 03:43:49,4991
2022-12-04 03:43:50,5297
2022-12-04 03:43:51,2457
2022-12-04 03:43:52,5836
2022-12-04 03:43:53,2840
2022-12-04 03:43:54,2303
2022-12-04 03:43:55,2917
2022-12-04 03:43:56,2226
2022-12-04 03:43:57,5220
2022-12-04 03:43:58,1920
2022-12-04 03:43:59,3225
2022-12-04 03:44:00,3839
2022-12-04 03:44:01,3916
2022-12-04 03:44:02,5145
2022-12-04 03:44:03,3379
2022-12-04 03:44:04,1997
2022-12-04 03:44:05,3302
2022-12-04 03:44:06,3762
2022-12-04 03:44:07,3533
2022-12-04 03:44:08,3302
2022-12-04 03:44:09,1689
2022-12-04 03:44:10,2611
2022-12-04 03:44:11,2457
2022-12-04 03:44:12,3993
2022-12-04 03:44:13,4683
2022-12-04 03:44:14,3071
2022-12-04 03:44:15,4606
2022-12-04 03:44:16,5297
2022-12-04 03:44:17,4760
2022-12-04 03:44:18,4378
2022-12-04 03:44:19,3685
2022-12-04 03:44:20,4301
